,K,charge_max,charge_position,charge_ratio,dg,k1,k2,kap,lam,theta0
0,20.0,3.0,tail,0.4,-990.8822389590899,1.0,0.0,3.0,15.0,135.0
1,20.0,3.0,tail,1.0,-1755.8007378374,1.0,0.0,5.0,21.0,90.0
2,20.0,0.0,core,0.6000000000000001,-49.082089433129994,5.0,10.0,8.0,8.0,135.0
3,20.0,0.0,core,0.6000000000000001,-59.518989417669,5.0,1.0,3.0,12.0,180.0
4,20.0,3.0,tail,0.0,-84.251018300135,10.0,1.0,4.0,6.0,180.0
5,20.0,0.0,core,1.0,-34.142456058061,100.0,100.0,2.0,11.0,135.0
6,20.0,1.0,tail,0.0,-104.42157775755,100.0,100.0,8.0,23.0,135.0
7,10.0,0.0,tail,0.7000000000000001,-38.379718408609,10.0,0.0,7.0,6.0,135.0
8,10.0,3.0,core,0.7000000000000001,-954.93625779795,5.0,1.0,2.0,14.0,180.0
9,5.0,1.0,core,0.2,-622.98471735222,1.0,0.0,4.0,18.0,120.0
10,50.0,1.0,tail,0.0,-83.595027373874,5.0,100.0,5.0,17.0,90.0
11,5.0,3.0,core,0.1,-1729.0305912935,100.0,0.0,4.0,11.0,135.0
12,5.0,1.0,core,1.0,-67.234588144184,1.0,1.0,3.0,20.0,90.0
13,20.0,1.0,tail,0.0,-57.652458669884005,0.0,100.0,8.0,14.0,90.0
14,5.0,3.0,core,0.0,-1409.1245151832998,1.0,100.0,6.0,23.0,90.0
15,5.0,3.0,core,0.1,-1541.4782168904999,0.0,0.0,6.0,10.0,90.0
16,10.0,1.0,tail,0.5,-312.30584161864,10.0,5.0,2.0,20.0,90.0
17,10.0,1.0,core,0.6000000000000001,-272.08388167754,10.0,100.0,4.0,19.0,180.0
18,50.0,1.0,tail,0.8,-746.46106526952,5.0,10.0,7.0,15.0,120.0
19,50.0,1.0,tail,0.9,-705.77845453617,10.0,100.0,8.0,14.0,135.0
20,10.0,0.0,tail,0.7000000000000001,-83.198514817407,5.0,100.0,5.0,18.0,135.0
21,10.0,0.0,core,0.7000000000000001,-92.512303649508,0.0,100.0,8.0,18.0,180.0
22,10.0,2.0,tail,0.4,-888.8649546693599,100.0,5.0,7.0,22.0,135.0
23,50.0,0.0,tail,0.30000000000000004,-47.75086975155,100.0,5.0,3.0,17.0,180.0
24,20.0,1.0,tail,0.4,-197.30891349918,1.0,5.0,2.0,16.0,120.0
25,20.0,3.0,core,1.0,-102.63219934676,0.0,100.0,8.0,24.0,135.0
26,5.0,2.0,core,0.8,-1051.305751701,10.0,10.0,8.0,17.0,180.0
27,5.0,0.0,core,0.30000000000000004,-78.469898290722,1.0,0.0,5.0,11.0,90.0
28,20.0,0.0,core,0.7000000000000001,-40.839059260895,0.0,0.0,7.0,5.0,90.0
29,5.0,0.0,core,0.2,-101.69353629583,5.0,100.0,8.0,19.0,120.0
30,5.0,1.0,core,0.0,-407.23541300375,0.0,1.0,5.0,8.0,180.0
31,20.0,3.0,tail,0.9,-1575.4948340639999,0.0,5.0,3.0,17.0,180.0
32,5.0,0.0,core,0.4,-91.79799566319099,10.0,5.0,5.0,14.0,120.0
33,20.0,2.0,core,0.0,-1346.3344791112,100.0,1.0,7.0,17.0,120.0
34,50.0,1.0,core,0.1,-820.64054739097,10.0,1.0,7.0,14.0,120.0
35,50.0,2.0,tail,0.0,-74.517740703476,0.0,0.0,5.0,12.0,90.0
36,5.0,0.0,tail,0.2,-64.657847104909,1.0,10.0,6.0,8.0,180.0
37,50.0,3.0,core,0.0,-1593.6148600735,10.0,10.0,6.0,18.0,135.0
38,50.0,2.0,core,0.6000000000000001,-1099.9675896461,1.0,100.0,4.0,21.0,135.0
39,20.0,2.0,tail,0.8,-1242.9521892008,100.0,5.0,5.0,21.0,135.0
40,50.0,1.0,tail,0.5,-369.92255060522996,1.0,100.0,2.0,23.0,180.0
41,5.0,1.0,tail,0.6000000000000001,-573.98814847878,5.0,10.0,4.0,20.0,90.0
42,10.0,3.0,core,0.1,-2009.0955956017,0.0,10.0,3.0,18.0,120.0
43,10.0,2.0,core,0.0,-892.73477716271,10.0,1.0,8.0,7.0,90.0
44,5.0,0.0,core,0.9,-65.580578973912,0.0,0.0,3.0,13.0,90.0
45,5.0,1.0,core,0.7000000000000001,-450.56360155345993,1.0,0.0,5.0,22.0,90.0
46,50.0,3.0,tail,0.1,-148.59927507385,1.0,10.0,2.0,11.0,120.0
47,50.0,3.0,core,1.0,-104.89751259466,5.0,5.0,8.0,16.0,120.0
48,10.0,1.0,core,0.0,-722.8460359326,5.0,5.0,4.0,21.0,120.0
49,5.0,3.0,core,0.30000000000000004,-1626.4913678472,1.0,10.0,8.0,24.0,135.0
50,50.0,0.0,core,0.9,-36.711160829563,0.0,10.0,4.0,5.0,120.0
51,5.0,3.0,tail,0.9,-1907.9394066234,0.0,1.0,3.0,16.0,120.0
52,10.0,0.0,core,0.5,-53.158715697489,0.0,1.0,6.0,14.0,135.0
53,20.0,1.0,tail,0.30000000000000004,-253.09090443098998,100.0,0.0,5.0,14.0,90.0
54,5.0,0.0,core,0.7000000000000001,-71.949276764082,0.0,0.0,8.0,16.0,135.0
55,20.0,2.0,tail,0.30000000000000004,-388.10928256874,0.0,5.0,6.0,7.0,135.0
56,10.0,2.0,tail,0.0,-40.550689012868,1.0,10.0,3.0,6.0,135.0
57,20.0,3.0,core,1.0,-40.550689012868,0.0,1.0,5.0,25.0,120.0
58,20.0,1.0,tail,0.2,-119.9375086361,100.0,5.0,6.0,12.0,180.0
59,20.0,0.0,tail,0.0,-68.62716749771499,100.0,100.0,7.0,14.0,90.0
60,10.0,2.0,core,1.0,-86.792687967933,0.0,10.0,8.0,13.0,180.0
61,10.0,1.0,tail,0.6000000000000001,-496.49779634380997,1.0,5.0,8.0,11.0,135.0
62,5.0,0.0,core,0.30000000000000004,-69.082201786419,1.0,5.0,8.0,9.0,135.0
63,20.0,1.0,core,0.2,-708.24471540057,10.0,100.0,5.0,19.0,135.0
64,50.0,0.0,core,0.4,-73.568048701497,1.0,100.0,6.0,15.0,120.0
65,5.0,0.0,core,0.4,-65.790913845391,10.0,5.0,2.0,15.0,90.0
