,K,charge_max,charge_position,charge_ratio,dg,k1,k2,kap,lam,theta0
0,50.0,3.0,core,0.2,-641.0997192923099,5.0,5.0,6.0,7.0,180.0
1,10.0,0.0,tail,0.8,-732.8555025449499,5.0,0.0,7.0,5.0,180.0
2,5.0,1.0,core,0.5,-84.847152555777,1.0,100.0,3.0,23.0,90.0
3,10.0,1.0,core,0.2,-310.06688656848996,1.0,1.0,5.0,9.0,120.0
4,20.0,1.0,tail,0.2,-687.7545846549499,100.0,100.0,2.0,22.0,135.0
5,10.0,3.0,tail,0.9,-589.51881280817,1.0,10.0,6.0,19.0,180.0
6,5.0,2.0,tail,0.2,-1334.9928710581,5.0,10.0,3.0,15.0,135.0
7,10.0,1.0,core,0.5,-830.08329361908,5.0,10.0,4.0,19.0,120.0
8,50.0,3.0,tail,0.6000000000000001,-82.599991044482,0.0,1.0,5.0,5.0,135.0
9,5.0,1.0,tail,0.5,-1778.3691774301,5.0,100.0,5.0,16.0,180.0
10,50.0,2.0,tail,0.9,-109.35168611427,10.0,100.0,7.0,25.0,90.0
11,50.0,1.0,core,0.6000000000000001,-495.68516395787003,5.0,0.0,5.0,13.0,90.0
12,20.0,2.0,tail,0.5,-495.68516395787003,1.0,0.0,3.0,16.0,135.0
13,50.0,0.0,core,0.2,-544.9613850911701,10.0,100.0,2.0,21.0,180.0
14,5.0,2.0,core,0.6000000000000001,-50.915759688735,0.0,1.0,3.0,20.0,90.0
15,10.0,1.0,core,0.30000000000000004,-202.79705121113997,0.0,5.0,4.0,10.0,135.0
16,20.0,0.0,core,0.2,-81.689417923078,100.0,10.0,2.0,7.0,180.0
17,20.0,3.0,tail,0.7000000000000001,-375.2769304302299,1.0,5.0,8.0,20.0,90.0
18,10.0,1.0,tail,0.6000000000000001,-375.2769304302299,10.0,1.0,2.0,9.0,135.0
19,50.0,1.0,core,0.30000000000000004,-658.95833999079,10.0,100.0,4.0,23.0,120.0
20,50.0,3.0,tail,1.0,-658.95833999079,0.0,5.0,8.0,23.0,90.0
21,10.0,0.0,tail,0.2,-123.74545213618,5.0,10.0,3.0,15.0,120.0
22,10.0,1.0,tail,0.9,-514.14141148004,0.0,100.0,3.0,11.0,120.0
23,5.0,3.0,tail,0.7000000000000001,-87.944625255227,100.0,100.0,4.0,21.0,120.0
24,5.0,0.0,tail,0.7000000000000001,-87.944625255227,0.0,0.0,8.0,15.0,180.0
25,10.0,3.0,tail,0.30000000000000004,-979.5567974395801,100.0,1.0,6.0,17.0,180.0
